siteID,season,year,fish_unique_taxa,total_individuals,total_biomass
ARIK,fall,2016,6,349,406.3
ARIK,fall,2017,9,488,1204.3
ARIK,fall,2018,10,344,498.4
ARIK,fall,2019,7,486,538.1
ARIK,spring,2016,5,223,690.1
ARIK,spring,2017,6,424,926.6
ARIK,spring,2018,11,514,605.8
ARIK,spring,2019,7,369,557.2
ARIK,spring,2021,5,50,79.6
ARIK,spring,2022,6,56,190.2
BIGC,fall,2018,2,397,7107.3
BIGC,fall,2019,2,407,10208
BIGC,fall,2022,1,22,577
BIGC,spring,2018,3,379,6952.4
BIGC,spring,2019,3,265,6938.1
BIGC,spring,2021,3,288,7588.9
BIGC,spring,2022,2,283,6752.3
CRAM,fall,2017,7,1388,8439.8
CRAM,fall,2018,6,174,1040
CRAM,fall,2019,5,235,1758.2
CRAM,fall,2020,6,120,1193.8
CRAM,fall,2022,4,94,337.2
CRAM,fall,2023,5,79,269.4
CRAM,spring,2017,9,119,980.3
CRAM,spring,2018,7,449,5678.5
CRAM,spring,2021,8,325,7679.3
CRAM,summer,2018,3,130,961.8
CRAM,summer,2019,6,383,10287
CRAM,summer,2022,6,95,1019.6
CRAM,summer,2023,3,68,1328.9
KING,fall,2017,9,886,1184.3
KING,fall,2018,7,227,310.4
KING,fall,2019,4,455,425.2
KING,fall,2020,13,1024,4211
KING,fall,2021,11,1152,1442.3
KING,fall,2022,9,269,638.7
KING,fall,2023,5,115,97
KING,spring,2017,4,398,670.4
KING,spring,2018,5,406,1000.1
KING,spring,2019,9,603,1353.1
KING,spring,2021,5,183,567.3
KING,spring,2022,10,376,1135.6
KING,spring,2023,13,234,690.5
KING,summer,2020,6,172,811.4
LECO,fall,2016,4,688,4643.1
LECO,fall,2017,3,506,3175.8
LECO,fall,2018,3,515,4278.4
LECO,fall,2019,4,743,6035.6
LECO,fall,2021,3,600,3633.7
LECO,fall,2022,4,584,5300.2
LECO,fall,2023,3,624,7913.4
LECO,spring,2019,3,334,2292.2
LECO,spring,2021,4,495,4158.8
LECO,spring,2022,4,132,1139.4
LECO,spring,2023,4,326,4441.6
LECO,summer,2018,3,471,3726.8
LEWI,fall,2017,5,662,2716.2
LEWI,fall,2018,6,554,3279.3
LEWI,fall,2019,5,473,2107.5
LEWI,fall,2020,5,466,1210.3
LEWI,fall,2021,6,544,1215.4
LEWI,fall,2022,7,382,1203.5
LEWI,fall,2023,6,522,1072.8
LEWI,spring,2017,6,807,2606
LEWI,spring,2018,5,557,2813
LEWI,spring,2019,5,559,2298.3
LEWI,spring,2021,7,477,1737.5
LEWI,spring,2022,6,406,1162.8
LEWI,spring,2023,6,471,1900.7
LIRO,fall,2017,5,634,15376.3
LIRO,fall,2018,4,107,2646.6
LIRO,fall,2019,4,179,9357.2
LIRO,fall,2021,4,113,8347.1
LIRO,fall,2022,3,89,3927.4
LIRO,fall,2023,4,100,4353
LIRO,spring,2017,5,224,4235.6
LIRO,spring,2021,4,53,3274.2
LIRO,summer,2018,4,182,7936.4
LIRO,summer,2019,4,32,2939
LIRO,summer,2022,3,53,2648.1
LIRO,summer,2023,4,32,2060.5
MAYF,fall,2016,18,660,1737.7
MAYF,fall,2017,8,93,143.8
MAYF,fall,2018,18,424,1773.5
MAYF,fall,2019,29,617,1902.6
MAYF,fall,2021,18,435,1680
MAYF,fall,2022,29,774,2603
MAYF,fall,2023,23,631,1694.6
MAYF,spring,2016,13,344,1060.9
MAYF,spring,2017,16,297,1236.5
MAYF,spring,2018,16,355,2246.5
MAYF,spring,2019,18,314,8287.3
MAYF,spring,2021,33,396,3199.7
MAYF,spring,2022,13,108,2773.6
MAYF,spring,2023,22,382,3033.4
MAYF,winter,2020,18,84,384.1
MCDI,fall,2017,14,564,1226.8
MCDI,fall,2018,13,434,2128.4
MCDI,fall,2019,11,266,1310.6
MCDI,fall,2020,14,545,1892.7
MCDI,fall,2021,8,164,1095.9
MCDI,fall,2022,12,306,7411.5
MCDI,fall,2023,16,313,2349.7
MCDI,spring,2017,7,249,804.8
MCDI,spring,2018,13,489,1350.5
MCDI,spring,2019,8,402,1033.8
MCDI,spring,2021,8,160,880
MCDI,spring,2022,6,125,303.4
MCDI,spring,2023,13,302,793.9
MCDI,summer,2020,10,141,794.3
POSE,fall,2016,4,557,1740.1
POSE,fall,2017,4,533,1123.3
POSE,fall,2018,4,592,1496.1
POSE,fall,2019,5,504,899.1
POSE,fall,2020,4,451,683.9
POSE,fall,2021,4,440,873
POSE,fall,2022,4,426,607.3
POSE,fall,2023,4,316,367.8
POSE,spring,2016,4,196,342.5
POSE,spring,2017,4,574,1469.7
POSE,spring,2018,4,509,971.9
POSE,spring,2019,4,686,1849.8
POSE,spring,2021,4,544,1023.2
