siteID,sample_month,macro_unique_taxa,total_individuals
ARIK,2014-09-01,105,3793
ARIK,2015-03-01,76,4567
ARIK,2015-09-01,89,2081
ARIK,2016-03-01,47,1125
ARIK,2016-09-01,68,NA
ARIK,2017-03-01,66,NA
ARIK,2017-10-01,74,3887
ARIK,2018-03-01,77,4389
ARIK,2018-10-01,74,5559
ARIK,2019-03-01,68,4061
ARIK,2019-10-01,81,7351
ARIK,2020-10-01,29,570
ARIK,2021-03-01,42,8256
ARIK,2022-03-01,45,14529
BIGC,2018-05-01,112,2014
BIGC,2018-09-01,119,27166
BIGC,2019-04-01,123,2016
BIGC,2019-10-01,115,27288
BIGC,2021-04-01,108,31735
BIGC,2021-11-01,119,12001
BIGC,2022-04-01,107,71134
CRAM,2015-09-01,81,NA
CRAM,2016-04-01,73,6019
CRAM,2016-09-01,79,5816
CRAM,2017-04-01,74,3295
CRAM,2017-09-01,74,5912
CRAM,2018-05-01,68,4392
CRAM,2018-10-01,91,3930
CRAM,2019-05-01,90,7954
CRAM,2019-09-01,77,11984
CRAM,2020-09-01,89,11240
CRAM,2021-04-01,75,5861
CRAM,2021-09-01,91,6744
CRAM,2022-05-01,73,8576
CRAM,2022-09-01,88,2390
KING,2015-10-01,10,21
KING,2016-03-01,65,8171
KING,2016-10-01,70,NA
KING,2017-03-01,32,NA
KING,2017-10-01,37,238
KING,2018-03-01,18,278
KING,2018-10-01,29,320
KING,2019-03-01,40,2749
KING,2019-10-01,62,3538
KING,2020-09-01,36,379
KING,2021-03-01,16,125
KING,2021-10-01,75,1910
KING,2022-03-01,40,798
LECO,2016-03-01,104,2040
LECO,2016-10-01,104,688
LECO,2017-03-01,105,1591
LECO,2017-10-01,125,1477
LECO,2018-04-01,136,3871
LECO,2018-10-01,76,336
LECO,2019-03-01,113,3859
LECO,2019-10-01,109,2191
LECO,2021-03-01,104,2310
LECO,2021-10-01,106,1191
LECO,2022-03-01,104,7491
LEWI,2016-10-01,77,NA
LEWI,2017-03-01,92,8403
LEWI,2017-11-01,88,8301
LEWI,2018-03-01,104,11499
LEWI,2018-10-01,83,2619
LEWI,2019-03-01,81,11362
LEWI,2019-10-01,83,5123
LEWI,2020-10-01,80,6617
LEWI,2021-03-01,91,5659
LEWI,2021-11-01,79,4813
LEWI,2022-03-01,85,20035
LIRO,2017-04-01,72,NA
LIRO,2017-09-01,77,9413
LIRO,2018-05-01,84,2051
LIRO,2018-09-01,77,10741
LIRO,2019-05-01,83,4761
LIRO,2019-09-01,94,15891
LIRO,2020-09-01,83,20455
LIRO,2021-04-01,74,4437
LIRO,2021-09-01,73,13558
LIRO,2022-05-01,78,5431
LIRO,2022-09-01,80,4371
MAYF,2014-11-01,67,3496
MAYF,2015-03-01,59,NA
MAYF,2015-11-01,85,2754
MAYF,2016-03-01,63,2029
MAYF,2016-10-01,35,191
MAYF,2016-11-01,112,2286
MAYF,2017-03-01,73,559
MAYF,2017-10-01,73,1400
MAYF,2018-03-01,66,970
MAYF,2018-10-01,81,1523
MAYF,2019-03-01,65,1477
MAYF,2019-11-01,83,826
MAYF,2020-11-01,82,1221
MAYF,2021-03-01,62,707
MAYF,2021-10-01,73,871
MAYF,2022-03-01,44,321
MCDI,2017-03-01,54,11447
MCDI,2017-10-01,79,8236
MCDI,2018-03-01,31,276
MCDI,2018-10-01,83,5833
MCDI,2019-04-01,56,3788
MCDI,2019-10-01,67,2922
MCDI,2020-09-01,47,1459
MCDI,2021-03-01,77,2342
MCDI,2021-10-01,33,576
MCDI,2022-03-01,79,2250
POSE,2014-10-01,120,2846
POSE,2015-03-01,116,NA
POSE,2015-10-01,125,NA
POSE,2016-03-01,118,9103
POSE,2016-10-01,103,NA
POSE,2017-03-01,147,6580
POSE,2017-10-01,126,9395
POSE,2018-03-01,146,8028
POSE,2018-11-01,132,7341
POSE,2019-03-01,123,8174
POSE,2019-11-01,99,2146
POSE,2020-11-01,121,5343
POSE,2021-03-01,122,7348
POSE,2021-10-01,124,1847
POSE,2022-03-01,114,12613
TECR,2019-09-01,115,84150
TECR,2021-05-01,119,41266
TECR,2021-09-01,125,14561
TECR,2022-05-01,122,7489
WALK,2015-10-01,102,3555
WALK,2016-03-01,128,4522
WALK,2016-10-01,94,1764
WALK,2017-03-01,108,3681
WALK,2017-10-01,112,1548
WALK,2018-03-01,118,3774
WALK,2018-10-01,110,3814
WALK,2019-03-01,102,3688
WALK,2019-10-01,114,2896
WALK,2020-03-01,115,3722
WALK,2021-03-01,110,7313
WALK,2021-10-01,103,3023
WALK,2022-03-01,111,3445
WLOU,2017-05-01,86,9226
WLOU,2017-09-01,76,10315
WLOU,2018-05-01,92,2809
WLOU,2018-09-01,87,9414
WLOU,2019-09-01,82,3530
WLOU,2020-09-01,83,7257
WLOU,2021-05-01,86,7741
WLOU,2021-09-01,77,17065
