uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks,publicationDate,release
6798c879-c123-47b3-a1a8-fcabf84d366a,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T06:00:00Z,2018-04-02T19:25:00Z,MAYF.20180402.02.2.e-fisher,2,5,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,148,5.1,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
747eee10-f836-4c84-be3b-2c05919ddc69,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T06:00:00Z,2018-04-02T19:25:00Z,MAYF.20180402.02.2.e-fisher,2,16,NOTBAI,Notropis baileyi,species,NA,NA,NA,52,1.1,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
35d02775-a34e-4c31-ba84-193a49484b33,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T06:00:00Z,2018-04-02T19:25:00Z,MAYF.20180402.02.2.e-fisher,2,9,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,125,3.2,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
f6766a00-f977-4552-8466-ea542db6d80c,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T06:00:00Z,2018-04-02T19:25:00Z,MAYF.20180402.02.2.e-fisher,2,1,NOTFUN,Noturus funebris,species,NA,NA,NA,145,34.7,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
1dc8b3bd-609e-4a33-b188-47fff7835a73,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T06:00:00Z,2018-04-02T19:25:00Z,MAYF.20180402.02.2.e-fisher,2,8,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,123,3.4,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
efb8545e-bc68-4efc-a8c0-2a11bfc13d45,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T06:00:00Z,2018-04-02T19:25:00Z,MAYF.20180402.02.2.e-fisher,2,13,ICHGAG,Ichthyomyzon gagei,species,NA,NA,NA,120,3.4,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
0033db0a-5d31-4a24-8f33-5b713714b88d,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T06:00:00Z,2018-04-02T19:25:00Z,MAYF.20180402.02.2.e-fisher,2,7,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,135,3.4,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
d88c22a4-2306-4276-b9bb-06ed5f191fdd,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T06:00:00Z,2018-04-02T19:25:00Z,MAYF.20180402.02.2.e-fisher,2,6,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,113,2.7,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
5eb657df-cbef-4f42-b039-6ff56182dc52,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T06:00:00Z,2018-04-02T19:25:00Z,MAYF.20180402.02.2.e-fisher,2,17,PERNIG,Percina nigrofasciata,species,NA,NA,NA,57,1.2,NA,NA,NA,juvenile,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
6bb1c20e-a5c3-4948-b526-fc0816164a3c,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T06:00:00Z,2018-04-02T19:25:00Z,MAYF.20180402.02.2.e-fisher,2,3,NOTFUN,Noturus funebris,species,NA,NA,NA,143,33,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
ae320bc5-6a60-47ca-a55e-692ee43c2a16,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T06:00:00Z,2018-04-02T19:25:00Z,MAYF.20180402.02.2.e-fisher,2,15,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,90,1.2,NA,NA,NA,juvenile,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
