uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,taxonRankQualifier,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF,publicationDate,release
e994e8ad-2c31-495b-80ed-069ee43644ad,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-01T00:00:00Z,MAYF.20200713.SNAG.4,A00000231258,NA,THIGRO,Y,Thienemannimyia gr.,NA,speciesGroup,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Thienemannimyia,gr.,NA,larva,4,NA,1,100,1,Y,N,early instar,condition OK,Y,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2017",N,"Rhithron Associates, Inc.",B. Hayford,NA,NA,NA,20231227T222106Z,RELEASE-2024
9c228235-2ea9-429d-8b09-23a087b0fcdd,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-01T00:00:00Z,MAYF.20200713.SNAG.2,A00000231255,NA,ZAVSP,Y,Zavrelimyia sp.,NA,genus,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Zavrelimyia,sp.,NA,larva,4,NA,2,100,2,N,N,NA,condition OK,Y,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013",N,"Rhithron Associates, Inc.",B. Hayford,NA,NA,NA,20231227T222106Z,RELEASE-2024
f427105d-b22d-4bfb-9dc7-0c5b44fbb9c2,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-06T00:00:00Z,MAYF.20200713.SNAG.1,A00000231252,NA,LEUSP8,Y,Leuctra sp.,NA,genus,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Polyneoptera,Plecoptera,Euholognatha,NA,NA,Leuctridae,Leuctrinae,NA,NA,Leuctra,sp.,NA,larva,4,NA,10,100,10,N,N,NA,condition OK,Y,NA,Stewart and Stark 2002; Merritt et al. 2019,N,"Rhithron Associates, Inc.",J. Webb,NA,NA,NA,20231227T222106Z,RELEASE-2024
a7b09e14-7445-4c72-bd1e-e44f57ebfd46,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-01T00:00:00Z,MAYF.20200713.SNAG.3,A00000231257,NA,THIGRO,Y,Thienemannimyia gr.,NA,speciesGroup,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Thienemannimyia,gr.,NA,larva,1,NA,3,100,3,Y,N,early instar,condition OK,Y,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2017",N,"Rhithron Associates, Inc.",B. Hayford,NA,NA,NA,20231227T222106Z,RELEASE-2024
e17be050-eb34-4df0-b526-9f1f77a44203,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-01T00:00:00Z,MAYF.20200713.SNAG.2,A00000231255,NA,POLSP13,Y,Polypedilum sp.,NA,genus,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Chironominae,Chironomini,NA,Polypedilum,sp.,NA,larva,2,NA,1,100,1,N,N,damaged,"damaged, affecting taxonomy and measurement",N,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2013",N,"Rhithron Associates, Inc.",B. Hayford,NA,NA,NA,20231227T222106Z,RELEASE-2024
f8f21d3b-6b43-4513-b143-7ceda4676208,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-01T00:00:00Z,MAYF.20200713.CORE.3,A00000231289,NA,POLLAE,Y,Polypedilum laetum,NA,species,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Chironominae,Chironomini,NA,Polypedilum,laetum,NA,larva,6,NA,1,100,1,N,N,NA,condition OK,Y,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013",Y,"Rhithron Associates, Inc.",B. Hayford,NA,NA,NA,20231227T222106Z,RELEASE-2024
e44055e9-c318-4d7f-a790-46d5225bf1df,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-01T00:00:00Z,MAYF.20200713.SNAG.3,A00000231257,NA,TANSP7,Y,Tanypodinae sp.,NA,subfamily,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Tanypodinae,NA,NA,NA,sp.,NA,larva,1,NA,1,100,1,Y,N,early instar,condition OK,N,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013",N,"Rhithron Associates, Inc.",B. Hayford,NA,NA,NA,20231227T222106Z,RELEASE-2024
32f69af0-0a9c-44e4-a223-2dd5e94bb822,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-06T00:00:00Z,MAYF.20200713.SNAG.3,A00000231257,NA,ANISP1,Y,Anisoptera sp.,NA,suborder,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Odonata,Anisoptera,NA,NA,NA,NA,NA,NA,NA,sp.,NA,larva,1,NA,1,100,1,Y,N,early instar,condition OK,Y,NA,Needham et al. 2000; Merritt et al. 2019; Tennessen 2019,N,"Rhithron Associates, Inc.",J. Webb,NA,NA,NA,20231227T222106Z,RELEASE-2024
1cd3b84e-0b62-4bf2-ba7a-4f6b89e0f944,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-01T00:00:00Z,MAYF.20200713.SNAG.3,A00000231257,NA,POLSCA,Y,Polypedilum scalaenum gr.,NA,speciesGroup,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Chironominae,Chironomini,NA,Polypedilum,scalaenum gr.,NA,larva,2,NA,8,100,8,N,N,NA,condition OK,Y,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2018",N,"Rhithron Associates, Inc.",B. Hayford,NA,NA,NA,20231227T222106Z,RELEASE-2024
4491e242-38b1-4450-baf0-76c7a1bcad17,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-06T00:00:00Z,MAYF.20200713.CORE.1,A00000231260,NA,PIOSP2,Y,Piona sp.,NA,genus,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,Prostigmata,NA,Hygrobatoidea,Pionidae,NA,NA,NA,Piona,sp.,NA,adult,1,NA,1,100,1,N,N,NA,condition OK,Y,NA,Thorp and Rogers 2016,N,"Rhithron Associates, Inc.",J. Webb,NA,NA,NA,20231227T222106Z,RELEASE-2024
fed06e3b-9473-4a6c-85b5-d9473993a4ee,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-06T00:00:00Z,MAYF.20200713.SNAG.5,A00000231259,NA,ORISP1,Y,Oribatida sp.,NA,suborder,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Sarcoptiformes,Oribatida,NA,NA,NA,NA,NA,NA,NA,sp.,NA,adult,1,NA,3,100,3,N,N,NA,condition OK,Y,NA,Thorp and Rogers 2016,N,"Rhithron Associates, Inc.",J. Webb,NA,NA,NA,20231227T222106Z,RELEASE-2024
544253cc-ce15-453c-82b9-13fe81da8a4b,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-06T00:00:00Z,MAYF.20200713.SNAG.3,A00000231257,NA,GYRSP,Y,Gyrinidae sp.,NA,family,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Adephaga,NA,NA,Gyrinidae,NA,NA,NA,NA,sp.,NA,larva,4,NA,1,100,1,N,N,damaged,"damaged, affecting taxonomy and measurement",Y,NA,Merritt et al. 2019,N,"Rhithron Associates, Inc.",J. Webb,NA,NA,NA,20231227T222106Z,RELEASE-2024
2ff73649-d009-4f1f-af43-7e09b59fb407,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-01T00:00:00Z,MAYF.20200713.SNAG.3,A00000231257,NA,THIGRO,Y,Thienemannimyia gr.,NA,speciesGroup,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Thienemannimyia,gr.,NA,larva,2,NA,9,100,9,Y,N,early instar,condition OK,Y,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2017",N,"Rhithron Associates, Inc.",B. Hayford,NA,NA,NA,20231227T222106Z,RELEASE-2024
84884ef5-0fb8-484e-8fc8-5862268ba461,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-01T00:00:00Z,MAYF.20200713.SNAG.2,A00000231255,NA,ABLSP,Y,Ablabesmyia sp.,NA,genus,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Ablabesmyia,sp.,NA,larva,3,NA,2,100,2,N,N,NA,condition OK,Y,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013",N,"Rhithron Associates, Inc.",B. Hayford,NA,NA,NA,20231227T222106Z,RELEASE-2024
0165cfc0-7e07-46f6-b113-b3459f2f9dd4,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-06T00:00:00Z,MAYF.20200713.SNAG.5,A00000231259,NA,ELMSP,Y,Elmidae sp.,NA,family,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Elateriformia,Byrrhoidea,Elmidae,NA,NA,NA,NA,sp.,NA,larva,1,NA,2,100,2,Y,N,early instar,condition OK,Y,NA,"Brown, 1972; Merritt et al. 2019",N,"Rhithron Associates, Inc.",J. Webb,Ancyronyx/Macronychus,NA,NA,20231227T222106Z,RELEASE-2024
3bac7909-226d-4ace-b5da-c922a2e69956,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-06T00:00:00Z,MAYF.20200713.SNAG.2,A00000231255,NA,NEOSP12,Y,Neotrichia sp.,NA,genus,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,NA,NA,Hydroptiloidea,Hydroptilidae,Hydroptilinae,Neotrichiini,NA,Neotrichia,sp.,NA,larva,2,NA,1,100,1,N,N,NA,condition OK,Y,NA,Wiggins 1996; Merritt et al. 2019,N,"Rhithron Associates, Inc.",J. Webb,Reference Collection(1),NA,NA,20231227T222106Z,RELEASE-2024
0e2bd964-8658-4dce-a06c-fafd655242de,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-01T00:00:00Z,MAYF.20200713.SNAG.1,A00000231252,NA,POLSCA,Y,Polypedilum scalaenum gr.,NA,speciesGroup,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Chironominae,Chironomini,NA,Polypedilum,scalaenum gr.,NA,larva,1,NA,2,100,2,N,N,NA,condition OK,Y,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2018",N,"Rhithron Associates, Inc.",B. Hayford,NA,NA,NA,20231227T222106Z,RELEASE-2024
b708a518-267b-4c36-8352-aa1e6504a11b,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-01T00:00:00Z,MAYF.20200713.SNAG.2,A00000231255,NA,THIGRO,Y,Thienemannimyia gr.,NA,speciesGroup,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Thienemannimyia,gr.,NA,larva,2,NA,8,100,8,Y,N,early instar,condition OK,Y,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2017",N,"Rhithron Associates, Inc.",B. Hayford,NA,NA,NA,20231227T222106Z,RELEASE-2024
c6a3540d-bc65-4812-a1b9-253079d5b91d,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-01T00:00:00Z,MAYF.20200713.SNAG.2,A00000231255,NA,TANSP11,Y,Tanytarsus sp.,NA,genus,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Chironominae,Tanytarsini,NA,Tanytarsus,sp.,NA,larva,3,NA,1,100,1,N,N,NA,condition OK,Y,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013",N,"Rhithron Associates, Inc.",B. Hayford,NA,NA,NA,20231227T222106Z,RELEASE-2024
a513fcff-442c-4f02-9b0f-b54a8c3b126b,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-01T00:00:00Z,MAYF.20200713.CORE.3,A00000231289,NA,ABLSP,Y,Ablabesmyia sp.,NA,genus,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Ablabesmyia,sp.,NA,larva,2,NA,1,100,1,N,N,NA,condition OK,Y,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013",Y,"Rhithron Associates, Inc.",B. Hayford,NA,NA,NA,20231227T222106Z,RELEASE-2024
543f0b14-3959-499b-9cca-1bc308a4a127,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-01T00:00:00Z,MAYF.20200713.SNAG.4,A00000231258,NA,THISP2,Y,Thienemanniella sp.,NA,genus,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Orthocladiinae,NA,NA,Thienemanniella,sp.,NA,larva,1,NA,1,100,1,N,N,NA,condition OK,Y,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013",N,"Rhithron Associates, Inc.",B. Hayford,NA,NA,NA,20231227T222106Z,RELEASE-2024
254950c3-b508-45e1-a2e5-c92d4595ea91,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-01T00:00:00Z,MAYF.20200713.SNAG.1,A00000231252,NA,PARSP25,Y,Parakiefferiella sp.,NA,genus,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Orthocladiinae,NA,NA,Parakiefferiella,sp.,NA,larva,1,NA,1,100,1,N,N,NA,condition OK,Y,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013",N,"Rhithron Associates, Inc.",B. Hayford,NA,NA,NA,20231227T222106Z,RELEASE-2024
0582257a-cdcf-4e6a-9ca2-9e1ab2fa3bd7,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-06T00:00:00Z,MAYF.20200713.SNAG.5,A00000231259,NA,HEPSP,Y,Heptageniidae sp.,NA,family,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Ephemeroptera,Pisciforma,NA,Heptagenioidea,Heptageniidae,NA,NA,NA,NA,sp.,NA,larva,5,NA,1,100,1,N,N,damaged,"damaged, affecting taxonomy and measurement",Y,NA,Merritt et al. 2019,N,"Rhithron Associates, Inc.",J. Webb,Maccaffertium/Stenonema,NA,NA,20231227T222106Z,RELEASE-2024
0d5c6276-ba4d-4a4a-8352-aa48a7553376,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-01T00:00:00Z,MAYF.20200713.CORE.3,A00000231289,NA,POLSCA,Y,Polypedilum scalaenum gr.,NA,speciesGroup,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Chironominae,Chironomini,NA,Polypedilum,scalaenum gr.,NA,larva,3,NA,1,100,1,N,N,NA,condition OK,Y,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2018",Y,"Rhithron Associates, Inc.",B. Hayford,NA,NA,NA,20231227T222106Z,RELEASE-2024
bba4db3c-2e57-454d-8e22-3d91bd567c79,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-01T00:00:00Z,MAYF.20200713.SNAG.1,A00000231252,NA,TANSP7,Y,Tanypodinae sp.,NA,subfamily,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Tanypodinae,NA,NA,NA,sp.,NA,larva,1,NA,2,100,2,Y,N,early instar,condition OK,N,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013",N,"Rhithron Associates, Inc.",B. Hayford,NA,NA,NA,20231227T222106Z,RELEASE-2024
659d5aa7-1b95-4b7d-a847-14bc661df5b7,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-01T00:00:00Z,MAYF.20200713.SNAG.5,A00000231259,NA,STEPER,Y,Stelechomyia perpulchra,NA,species,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Chironominae,Chironomini,NA,Stelechomyia,perpulchra,NA,larva,1,NA,1,100,1,N,N,NA,condition OK,Y,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2013",N,"Rhithron Associates, Inc.",B. Hayford,NA,NA,NA,20231227T222106Z,RELEASE-2024
d2838b08-463b-43ec-8f9b-906a4ca966ec,D08,MAYF,MAYF.AOS.reach,2020-07-13T14:48:00Z,2020-10-01T00:00:00Z,MAYF.20200713.SNAG.2,A00000231255,NA,TRISP18,Y,Tribelos sp.,NA,genus,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Chironominae,Chironomini,NA,Tribelos,sp.,NA,larva,3,NA,2,100,2,N,N,NA,condition OK,Y,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013",N,"Rhithron Associates, Inc.",B. Hayford,NA,NA,NA,20231227T222106Z,RELEASE-2024
